2026-07-14 12:17:20,466 | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
2026-07-14 21:12:57,731 | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-14 21:12:57,826 | INFO | Dataset information displayed successfully.
2026-07-14 21:12:57,829 | INFO | Missing values checked successfully
2026-07-14 21:12:57,860 | INFO | Missing values handled successfully.
2026-07-14 21:12:57,864 | INFO | Duplicate rows checked successfully
2026-07-14 21:12:57,866 | INFO | Duplicate rows removed successfully
2026-07-14 21:12:57,927 | INFO | Categorical columns encoded successfully.
2026-07-14 21:12:57,932 | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-14 21:12:57,932 | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-14 21:12:57,933 | INFO | SqFtPerBedroom feature created successfully.
2026-07-14 21:12:57,937 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-14 21:12:57,941 | INFO | TotalRooms feature created successfully.
2026-07-14 21:12:57,949 | INFO | Features and target created successfully.
2026-07-14 21:12:57,955 | INFO | Train-test split completed successfully.
2026-07-14 21:12:57,977 | INFO | Linear Regression model trained successfully.
2026-07-14 21:12:57,984 | INFO | Linear Regression evaluated successfully.
2026-07-14 21:12:58,003 | INFO | Decision tree regression model trained successfully.
2026-07-14 21:12:58,017 | INFO | Decision Tree evaluated successfully.
2026-07-14 21:12:58,565 | INFO | Random Forest regression model trained successfully.
2026-07-14 21:12:58,627 | INFO | Random Forest Regressor evaluated successfully.
2026-07-14 21:12:58,633 | INFO | KNN model trained successfully.
2026-07-14 21:12:58,668 | INFO | KNN Regression evaluated successfully.
2026-07-14 21:12:58,668 | INFO | Best model selected: Linear Regression
2026-07-14 21:12:58,683 | INFO | Best model saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-15 17:04:24,992 | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-15 17:04:25,005 | INFO | Dataset information displayed successfully.
2026-07-15 17:04:25,007 | INFO | Missing values checked successfully
2026-07-15 17:04:25,014 | INFO | Missing values handled successfully.
2026-07-15 17:04:25,021 | INFO | Duplicate rows checked successfully
2026-07-15 17:04:25,022 | INFO | Duplicate rows removed successfully
2026-07-15 17:04:25,063 | INFO | Categorical columns encoded successfully.
2026-07-15 17:04:25,069 | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 17:04:25,069 | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-15 17:04:25,071 | INFO | SqFtPerBedroom feature created successfully.
2026-07-15 17:04:25,072 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-15 17:04:25,073 | INFO | TotalRooms feature created successfully.
2026-07-15 17:04:25,075 | INFO | Features and target created successfully.
